region,air_t,sea_t,total_t,season,week,source
Africa,9.21,21.45,30.66,2025/2026,4,Berries ZA
Europe,1745.75,9171.62,10917.37,2025/2026,4,Berries ZA
Far East & Asia,1290.86,322.02,1612.88,2025/2026,4,Berries ZA
Indian Ocean Islands,44.73,2.1,46.83,2025/2026,4,Berries ZA
Middle East,1972.79,1278.52,3251.31,2025/2026,4,Berries ZA
Other,0.0,0.0,0.0,2025/2026,4,Berries ZA
Russian Federation,10.14,0.0,10.14,2025/2026,4,Berries ZA
United Kingdom,2176.59,7710.52,9887.11,2025/2026,4,Berries ZA
USA & Canada,0.22,0.0,0.22,2025/2026,4,Berries ZA
Total,7250.29,18506.23,25756.52,2025/2026,4,Berries ZA
