year,country,tonnes
2024,China,17616800.0
2024,"China, mainland",17600000.0
2024,Spain,1376900.0
2024,TÃ¼rkiye,1179041.0
2024,Italy,1092160.0
2024,Greece,773390.0
2024,United States of America,759950.0
2024,Iran (Islamic Republic of),638116.51
2024,Chile,318899.17
2024,Morocco,276623.71
2024,Mexico,265227.44
2024,France,236720.0
2024,Uzbekistan,233409.91
2024,Egypt,227034.95
2024,Algeria,195226.16
2024,Republic of Korea,192494.69
2024,Brazil,190389.0
2024,Argentina,173292.11
2024,Tunisia,158681.07
2024,Pakistan,142401.19
2024,South Africa,136239.56
2024,Democratic People's Republic of Korea,122609.9
2024,Japan,109700.0
2024,India,108719.0
2024,Jordan,105422.6
2024,Afghanistan,85571.17
2024,Venezuela (Bolivarian Republic of),78441.36
2024,Australia,72813.0
2024,Lebanon,67500.0
2024,Azerbaijan,66708.93
2024,Armenia,61609.0
2024,Israel,60002.0
2024,Bolivia (Plurinational State of),58766.49
2024,Guatemala,49214.49
2024,Syrian Arab Republic,48882.0
2024,Russian Federation,41085.6
2024,Peru,40401.41
2024,Saudi Arabia,39163.22
2024,Georgia,38400.0
2024,Portugal,35790.0
2024,Serbia,35003.5
2024,Bosnia and Herzegovina,32061.0
2024,Tajikistan,31277.66
2024,Turkmenistan,30658.01
2024,Colombia,25551.33
2024,Albania,25151.7
2024,Canada,20807.0
2024,Hungary,20420.0
2024,Bulgaria,17540.0
2024,"China, Taiwan Province of",16800.0
2024,Yemen,16654.14
2024,Republic of Moldova,15456.0
2024,Libya,14306.96
2024,Malawi,12315.29
2024,Ukraine,12000.0
2024,Uruguay,11818.81
2024,Romania,11570.0
2024,Madagascar,11343.22
2024,Kyrgyzstan,11336.23
2024,Nepal,10210.0
2024,Zimbabwe,9612.0
2024,North Macedonia,8154.0
2024,Ecuador,4555.76
2024,Kazakhstan,3821.06
2024,Poland,3400.0
2024,Croatia,3280.0
2024,Iraq,3265.48
2024,Cyprus,2520.0
2024,Slovenia,2390.0
2024,Austria,2360.0
2024,Kenya,1655.0
2024,Paraguay,1439.12
2024,Slovakia,1320.0
2024,Cameroon,1034.91
2024,Montenegro,734.6
2024,Bhutan,460.47
2024,Czechia,290.0
2024,Switzerland,168.0
2024,Ethiopia,159.23
2024,New Zealand,96.28
2024,Malta,50.0
2023,China,17517302.0
2023,"China, mainland",17500000.0
2023,Spain,1381780.0
2023,TÃ¼rkiye,1076852.0
2023,Italy,1033840.0
2023,United States of America,666820.0
2023,Iran (Islamic Republic of),618590.34
2023,Greece,574780.0
2023,Chile,302139.77
2023,Mexico,257773.88
2023,Egypt,242780.0
2023,France,222790.0
2023,Uzbekistan,217898.77
2023,Brazil,200742.0
2023,Algeria,195853.13
2023,Morocco,191071.53
2023,South Africa,188048.49
2023,Republic of Korea,182975.0
2023,Tunisia,157829.3
2023,Argentina,153480.0
2023,Pakistan,145399.0
2023,Democratic People's Republic of Korea,122410.07
2023,Japan,109500.0
2023,Jordan,106677.4
2023,India,101705.0
2023,Afghanistan,77841.0
2023,Venezuela (Bolivarian Republic of),77616.0
2023,Azerbaijan,65294.3
2023,Australia,62202.0
2023,Armenia,62183.7
2023,Lebanon,61848.0
2023,Bolivia (Plurinational State of),58526.5
2023,Israel,58122.0
2023,Guatemala,48683.31
2023,Syrian Arab Republic,44999.0
2023,Serbia,44740.02
2023,Russian Federation,42892.17
2023,Peru,41785.4
2023,Portugal,34580.0
2023,Saudi Arabia,34200.81
2023,Tajikistan,31338.09
2023,Turkmenistan,30514.98
2023,Bosnia and Herzegovina,30277.0
2023,Georgia,29400.0
2023,Colombia,26147.21
2023,Canada,25564.0
2023,Albania,22936.9
2023,"China, Taiwan Province of",17302.0
2023,Yemen,16018.0
2023,Libya,14304.17
2023,Hungary,14270.0
2023,Republic of Moldova,12789.0
2023,Romania,12550.0
2023,Malawi,12310.74
2023,Uruguay,12104.13
2023,Kyrgyzstan,11383.63
2023,Madagascar,11268.42
2023,Ukraine,11190.0
2023,Bulgaria,10800.0
2023,Nepal,10419.27
2023,Zimbabwe,9002.15
2023,North Macedonia,6157.0
2023,Poland,5300.0
2023,Ecuador,4557.45
2023,Kazakhstan,3658.34
2023,Iraq,3157.83
2023,Cyprus,2770.0
2023,Croatia,2710.0
2023,Paraguay,1449.6
2023,Austria,1210.0
2023,Cameroon,1039.16
2023,Slovenia,1020.0
2023,Montenegro,905.0
2023,Slovakia,880.0
2023,Bhutan,485.62
2023,Malta,430.0
2023,Czechia,190.0
2023,Switzerland,166.0
2023,Ethiopia,158.76
2023,New Zealand,87.46
2023,Kenya,37.0
