year,role,country_code,country,value_usd,net_kg,usd_per_kg
2023,exporter,484,Mexico,748390330.0,184776309.0,4.050250457162233
2023,exporter,724,Spain,735022954.208,239329525.26,3.07117541560948
2023,exporter,842,United States,631549964.0,151678099.0,4.163751841325491
2023,exporter,528,Netherlands,332197389.341,60771678.0,5.466319184752477
2023,exporter,56,Belgium,171721705.167,33529779.36,5.121468391523588
2023,exporter,504,Morocco,67201929.036,17657367.04,3.805886171124186
2023,exporter,380,Italy,47828772.342,11320584.0,4.224938602284123
2023,exporter,392,Japan,43866618.941,2506443.0,17.501542600809195
2023,exporter,251,France,40656851.859,8091528.491,5.02461950226358
2023,exporter,124,Canada,32472987.815,5531817.0,5.87022090842846
2023,exporter,616,Poland,31666456.0,20322772.0,1.558176020475947
2023,exporter,710,South Africa,28143119.736,4689741.41,6.000996062595272
2023,exporter,276,Germany,25751452.195,7815518.0,3.2949130428718862
2023,exporter,156,China,19896526.0,9659469.0,2.0597950052948044
2023,exporter,826,United Kingdom,8950269.388,1380085.025,6.485302880523612
2023,exporter,620,Portugal,7660994.695,2665956.0,2.8736388353746274
2023,exporter,604,Peru,1825400.31,462904.6,3.943361785560135
2023,exporter,372,Ireland,1705606.096,229581.0,7.42921276586477
2023,exporter,752,Sweden,730149.095,200000.0,3.650745475
2023,exporter,344,Hong Kong,558947.719,69826.0,8.004865222123565
2023,exporter,152,Chile,257.46,20.0,12.873
2023,importer,842,United States,1208707370.0,267013557.0,4.526764047415016
2023,importer,124,Canada,449986250.534,107850010.0,4.172333878633855
2023,importer,276,Germany,386079977.514,118335530.337,3.262587123364455
2023,importer,826,United Kingdom,288495143.493,0.0,
2023,importer,251,France,194770070.969,53089673.349,3.668699742954224
2023,importer,528,Netherlands,102960144.245,28027922.0,3.6734847572716953
2023,importer,56,Belgium,91688621.357,21286967.81,4.307265467556508
2023,importer,484,Mexico,76261476.0,26298800.0,2.899808204176616
2023,importer,344,Hong Kong,76001164.73,5478748.0,13.87199497585945
2023,importer,616,Poland,74879488.0,27891714.0,2.6846499286490606
2023,importer,380,Italy,67069218.66,21992746.0,3.049606386578556
2023,importer,724,Spain,41068918.312,12425811.88,3.305129572909645
2023,importer,392,Japan,38761490.34,3194398.0,12.13420817944414
2023,importer,620,Portugal,35036814.202,12439804.0,2.8165085400059358
2023,importer,752,Sweden,30716119.841,7260361.434,4.2306598810849225
2023,importer,372,Ireland,26784285.558,4839906.0,5.534050776605992
2023,importer,710,South Africa,627004.114,528869.3,1.1855558906520003
2023,importer,604,Peru,4750.03,326.88,14.531418257464512
2023,importer,504,Morocco,4420.36,2505.0,1.7646147704590818
2022,exporter,484,Mexico,784803182.0,201604218.0,3.8927914791941505
2022,exporter,724,Spain,733197244.265,274556445.78,2.6704790782894436
2022,exporter,842,United States,595945383.0,146996065.0,4.0541587490794395
2022,exporter,528,Netherlands,292091893.169,61724729.0,4.73216971384354
2022,exporter,56,Belgium,162769035.993,37099720.52,4.387338602867728
2022,exporter,504,Morocco,68336621.603,22379466.22,3.0535411761487494
2022,exporter,380,Italy,40218159.643,10923483.0,3.6818073175927495
2022,exporter,392,Japan,39860912.04,2183462.0,18.255830438084107
2022,exporter,251,France,38840943.428,9729933.0,3.9919024548267705
2022,exporter,276,Germany,26943148.474,7447558.0,3.617715830343315
2022,exporter,616,Poland,26032902.0,14259015.0,1.8257153106298016
2022,exporter,710,South Africa,23505305.387,3527165.29,6.664078219878377
2022,exporter,124,Canada,22620915.732,4419226.0,5.118750598407956
2022,exporter,156,China,11590947.0,3608730.0,3.211918597401302
2022,exporter,620,Portugal,7992349.759,3479776.0,2.296800069602181
2022,exporter,826,United Kingdom,3117425.523,739379.0,4.2162754460161835
2022,exporter,372,Ireland,1932165.218,235307.0,8.21125261041958
2022,exporter,752,Sweden,1121882.315,340000.0,3.299653867647059
2022,exporter,604,Peru,911383.5,322045.83,2.829980751497388
2022,exporter,344,Hong Kong,439778.897,59824.0,7.351211838058305
2022,exporter,152,Chile,46802.21,23999.2,1.950157088569619
2022,importer,842,United States,1102209007.0,256033340.0,4.3049432819960085
2022,importer,124,Canada,434512541.968,110891652.196,3.9183521334861435
2022,importer,276,Germany,351309713.629,127734379.802,2.750314474251664
2022,importer,826,United Kingdom,258656189.556,58857270.0,4.394634504046824
2022,importer,251,France,196304441.004,66113765.125,2.9691916748781595
2022,importer,528,Netherlands,120456267.797,33685820.0,3.575874590465662
2022,importer,380,Italy,87704922.165,31228343.0,2.80850386986591
2022,importer,56,Belgium,86997180.704,22225654.93,3.914268487385357
2022,importer,344,Hong Kong,81515783.969,5756721.0,14.160106763728866
2022,importer,484,Mexico,65002579.0,24109771.0,2.696109349192906
2022,importer,616,Poland,58159567.0,24928394.718,2.333065071294175
2022,importer,392,Japan,39912494.517,3101346.0,12.869410416316011
2022,importer,620,Portugal,34066426.988,15555383.0,2.190008885541423
2022,importer,752,Sweden,30908564.711,8565506.965,3.608492157825243
2022,importer,724,Spain,26607725.303,10459824.0,2.5438023912257033
2022,importer,372,Ireland,24062202.264,5345932.468,4.50102997148448
2022,importer,710,South Africa,531544.68,667512.0,0.7963073023406322
2022,importer,504,Morocco,3187.509,1200.0,2.6562575
2022,importer,152,Chile,174.05,8.45,20.59763313609468
