year,production_kt,value_gbp_m
1990,338.9,117.4
1991,347.4,126.19999999999999
1992,367.79999999999995,89.6
1993,325.79999999999995,86.2
1994,306.1,92.1
1995,273.5,90.8
1996,223.9,88.80000000000001
1997,187.1,79.8
1998,183.7,76.3
1999,246.3,86.5
2000,208.8,59.300000000000004
2001,211.8,55.699999999999996
2002,179.3,59.599999999999994
2003,143.9,67.0
2004,170.0,28.0
2005,217.7,31.6
2006,240.3,42.1
2007,242.5,50.9
2008,242.5,56.2
2009,228.8,45.9
2010,235.0,39.9
2011,239.7,111.80000000000001
2012,203.4,116.5
2013,215.8,119.3
2014,245.60000000000002,118.0
2015,250.2,117.4
2016,246.6,131.8
2017,249.7,128.1
2018,300.6,174.1
2019,287.70000000000005,184.3
2020,292.9,239.3
2021,250.6,197.6
2022,302.8,287.1
2023,228.0,183.1
2024,243.1,238.4
2025,256.90000000000003,245.79999999999998
