exp_num,exp_rut,exp_comuna,net_kg,n_consignments,top_region
16944,3,13106,663866.0,34,8
16170,3,13107,434296.8,22,6
15925,3,13132,332640.0,17,6
15416,3,13107,306552.4,35,7
16450,3,13123,292318.2,28,7
13433,3,13132,223225.0,41,7
16946,3,13132,211780.0,15,14
15639,3,13107,183176.0,28,7
16946,3,13114,155780.0,9,14
16694,3,8301,155184.0,9,8
16659,3,13132,151477.5,22,14
16438,3,16302,147968.0,8,16
9138,3,13132,93625.2,17,7
15396,3,7405,81340.0,5,7
16984,3,13401,76160.0,9,10
7221,3,6116,71296.0,16,16
16141,3,7401,58800.0,4,6
16128,3,13114,58800.0,6,7
15683,3,7105,58800.0,3,7
16652,3,13107,56504.0,8,10
16712,3,13402,55216.0,3,9
15626,3,13114,39200.0,6,6
15396,3,7401,39200.0,2,7
2613,3,14204,38080.0,2,7
16082,3,14204,38080.0,2,14
15675,3,13123,38080.0,2,7
16207,3,6104,38080.0,2,8
17351,3,6104,35000.0,2,7
15181,3,8307,23940.0,2,9
15165,3,7401,20160.0,1,7
16215,3,7405,19600.0,1,6
16537,3,16302,18496.0,1,16
15182,3,16101,11250.0,1,7
16771,3,7401,1800.0,1,7
