iso_week,fob_usd_per_kg
2018-W01,5.774
2018-W02,5.4632
2018-W03,4.8133
2018-W04,5.346
2018-W05,5.7283
2018-W06,6.1793
2018-W07,5.838
2018-W08,5.201
2018-W09,6.4828
2018-W10,7.173
2018-W11,6.0512
2018-W12,6.3317
2018-W13,5.4132
2018-W14,6.4699
2018-W15,7.6737
2018-W18,9.2063
2018-W19,10.5358
2018-W20,6.0131
2018-W21,9.5
2018-W36,8.3462
2018-W45,3.2434
2018-W46,3.3161
2018-W47,6.3878
2018-W48,7.4841
2018-W49,6.3068
2018-W50,6.0264
2018-W51,5.343
2018-W52,5.495
2019-W01,5.4542
2019-W02,5.4725
2019-W03,5.2235
2019-W04,5.2008
2019-W05,5.3706
2019-W06,5.3877
2019-W07,5.231
2019-W08,5.2196
2019-W09,5.5164
2019-W10,5.4266
2019-W11,5.5452
2019-W12,6.3714
2019-W13,6.5256
2019-W14,6.635
2019-W15,6.4386
2019-W16,6.9537
2019-W17,5.4627
2019-W19,7.9148
2019-W27,9.5
2019-W47,3.7526
2019-W48,6.8515
2019-W49,6.8457
2019-W50,5.6795
2019-W51,5.1196
2019-W52,5.6268
2020-W01,5.4153
2020-W02,5.3417
2020-W03,5.4078
2020-W04,5.5192
2020-W05,5.3459
2020-W06,5.2937
2020-W07,5.9617
2020-W08,5.9834
2020-W09,5.9712
2020-W10,6.4159
2020-W11,6.7391
2020-W12,3.6549
2020-W13,2.6664
2020-W14,7.6227
2020-W15,24.0
2020-W41,8.8
2020-W44,13.2
2020-W46,6.7554
2020-W47,6.7708
2020-W49,5.9163
2020-W50,5.984
2020-W51,4.8078
2020-W52,5.0268
2020-W53,6.3237
2021-W01,4.8779
2021-W02,5.1688
2021-W03,5.4356
2021-W04,5.4715
2021-W05,5.3133
2021-W06,5.4826
2021-W07,5.6581
2021-W08,6.0917
2021-W09,5.7287
2021-W10,6.2546
2021-W11,7.035
2021-W12,6.5778
2021-W13,6.5989
2021-W14,6.524
2021-W49,6.4844
2021-W50,5.9895
2021-W51,5.4064
2021-W52,5.4208
2022-W01,5.4157
2022-W02,5.2042
2022-W03,4.7546
2022-W04,5.5016
2022-W05,5.5979
2022-W06,5.5486
2022-W07,6.1721
2022-W08,5.6162
2022-W09,5.4152
2022-W10,4.9342
2022-W11,6.5068
2022-W12,6.7371
2022-W13,6.8521
2022-W14,7.1794
2022-W16,7.1673
2022-W21,6.5132
2022-W42,9.5333
2022-W44,6.1861
2022-W45,6.2892
2022-W46,6.2396
2022-W47,6.0889
2022-W48,4.552
2022-W49,5.4124
2022-W50,4.8376
2022-W51,4.6454
2022-W52,5.0726
2023-W01,5.447
2023-W02,4.0838
2023-W03,4.8728
2023-W04,4.252
2023-W05,4.7838
2023-W06,5.0275
2023-W07,5.0233
2023-W08,5.8086
2023-W09,5.4533
2023-W10,6.8717
2023-W12,5.932
2023-W16,25.0
2023-W17,25.0
2023-W18,25.03
2023-W48,5.8152
2023-W49,6.1675
2023-W50,6.4396
2023-W51,5.6535
2023-W52,5.6919
2024-W01,5.816
2024-W02,5.7365
2024-W03,5.362
2024-W04,5.8553
2024-W05,5.0778
2024-W06,5.3829
2024-W07,6.3693
2024-W08,5.8444
2024-W09,6.4303
2024-W10,4.9248
2024-W11,4.7336
2024-W12,6.4569
2024-W14,6.9474
2024-W49,4.6979
2024-W50,5.3362
2024-W51,5.554
2024-W52,5.5553
2025-W01,5.285
2025-W02,4.7857
2025-W03,4.9162
2025-W04,5.3126
2025-W05,4.759
2025-W06,4.5677
2025-W07,5.2664
2025-W08,5.6423
2025-W09,5.2953
2025-W10,5.9647
2025-W11,3.5913
2025-W12,5.7136
2025-W48,6.3885
2025-W49,6.0843
2025-W50,6.0795
2025-W51,7.831
2025-W52,5.1399
2026-W01,5.8055
2026-W02,5.9308
2026-W03,5.6618
2026-W04,5.2093
2026-W05,5.5706
2026-W11,5.9437
2026-W12,4.1014
2026-W13,7.4339
